#	name	ON	OFF	origin	effector	applications	references		
transcriptional switches
35	TET-OFF, TET-ON	yes	yes	Escherichia coli, Herpes simplex	tetracycline, doxycycline	reversible and tight gene expression control	[http://sci-hub.cc/10.1073/pnas.89.12.5547, http://sci-hub.cc/10.1073/pnas.130192197]		
36	TRT	yes	no	Chlamydia trachomatis	L-tryptophan	synthetic bidirectional communication between mammalian cells	[http://sci-hub.cc/10.1038/nbt.2351]		
37	UREX	yes	no	Deinococcus radiodurans	uric acid	self-sufficient control of pathologic metabolites, gene-and cell-based therapies	[59]		
38	VAC	yes	yes	Caulobacter crescentus	vanillic acid	biopharmaceutical manufacturing, gene- and cell-based therapies	[http://sci-hub.cc/10.1093/nar/gkr1251]		
39	ZF-ER, ZF-RXR/EcR	yes	yes	Mus musculus, Homo sapiens, Drosophila melanogaster	4-hydroxytamoxifen, ponasterone-A	spatio-temporal control of gene expression, genomic and proteomic research, gene therapy	[http://sci-hub.cc/10.1038/gt]		
40	ZF-Raps	yes	no	Homo sapiens	rapamycin	gene expression control, gene therapy	[http://sci-hub.cc/10.1038/nm0996-1028]		
41	ZF switches	yes	no	Mus musculus, Homo sapiens, Drosophila melanogaster	4-hydroxytamoxifen, mifepristone	study of gene function, alteration of phenotypes cells or organisms	[63]		
42	ZF(TF)s	yes	no	Xenopus laevis, Homo sapiens	ethyl-4-hydroxybenzoate, propyl-4-hydroxybenzoate	genomic and proteomic research, gene therapy	[http://sci-hub.cc/10.1038/gt.2011.112]		
post-transcriptional switches									
1	aptamer RNAi	yes	no	synthetic SELEX-derived aptamers	theophylline	regulation of gene expression by small molecules without engineered proteins	[http://sci-hub.cc/10.1261/rna.2299306]		
2	aptamer RNAi	no	yes	synthetic SELEX-derived	theophylline	construction of conditional RNAi systems	[66]		
3	aptamer RNAi miRNA	yes	no	synthetic SELEX-derived aptamers	theophylline, tetracycline, hypoxanthine	probing and programming of cellular function	[http://sci-hub.cc/10.1093/nar/gkq954]		
4	aptamer Splicing	yes	yes	Homo sapiens, MS2 bacteriophage	MS2, p65, p50, b-catenin	programmable sensing-actuation devices for autonomous cell behaviour control	[http://sci-hub.cc/10.1126/science.1192128]		
5	aptazyme	no	yes	synthetic SELEX-derived aptamer, Schistosoma mansoni	theophylline	regulation of therapeutic gene expression	[69]		
6	replicon CytTS	yes	no	Sindbis virus	temperature	expression of toxic proteins, bioprocess engineering	[http://sci-hub.cc/10.1038/74493]		
7	TET-OFF-shRNA,	yes	yes	Escherichia coli, Herpes	doxycycline	basic or translational research, development of gene-	[http://sci-hub.cc/10.1038/nmeth846]		
	TET-ON-shRNA			simplex, Homo sapiens		based therapeutics			
8	theo aptamer	no	yes	synthetic SELEX-derived aptamer, Schistosoma mansoni	theophylline	basic, biotechnological, and biomedical research	[http://sci-hub.cc/10.1186/1471-2199-9-23]		
9	30 UTR aptazyme	yes	no	synthetic SELEX-derived aptamers, tobacco ringspot virus	theophylline, tetracycline	functional response regulation, gene and cellular therapy	[http://sci-hub.cc/10.1073/pnas]		
10	50 UTR aptazyme	no	yes	synthetic SELEX-derived aptamer, Schistosoma mansoni	theophylline	control of gene expression, gene therapy	[http://sci-hub.cc/10.1039/b923076a]		
translational switches									
1	Hoechst aptamer	no	yes	synthetic RNA sequence	Hoechst dyes	translational gene regulation, biology and medical research	[75]		
2	H23 aptamer	no	yes	Archaeoglobus fulgidus	L7Ae, L7KK	gene expression regulation, construction of a NOR gate	[http://sci-hub.cc/10.1039/c3cc38688k]		
3	L7Ae aptamer	yes	yes	Archaeoglobus fulgidus	L7Ae	detection, repair or rewiring of intrinsic cellular defects, characterization of complex circuits	[77]		
4	MS2 aptamer	no	yes	MS2 bacteriophage	MS2	study RNA–protein interactions, clone RNA-binding	[http://sci-hub.cc/10.1128/MCB]		
post-translational switches									
1	AID	no	yes	Arabidopsis thaliana, Oryza sativa, Gossypium hirsutum	auxins (e.g. IAA)	control protein expression and study protein function	[79]		
2	ER DD	no	yes	Homo sapiens	CMP8, 4-hydroxytamoxifen	regulate the intracellular concentration of any protein	[http://sci-hub.cc/10.1021/ja209933r]		
3	FM	yes	no	Homo sapiens	AP21998	delivery of polypeptides that require rapid and regulated delivery	[http://sci-hub.cc/10.1126/science.287.5454.826]		
4	HaloTag	no	yes	Rhodococcus sp. RHA1	HyT13	validating potential drug targets in disease models	[82, 83]		
5	HDV-aptazyme	no	yes	hepatitis delta virus	theophylline, guanine	dynamic range of gene regulation	[http://sci-hub.cc/10.1021/sb400037a]		
6	PROTAC	no	yes	Homo sapiens	proteolysis targeting chimeric molecules (PROTACS)	chemical knockouts, control of protein function	[http://sci-hub.cc/10.1021/ja039025z]		
7	shield DD	yes	no	Homo sapiens	shields (e.g. Shld1)	conditional control of proteins levels	[http://sci-hub.cc/10.1016/j.cell.2006.07.025]		
8	shield LID	no	yes	Homo sapiens	shields (e.g. Shld1)	conditional control of proteins levels	[http://sci-hub.cc/10.1038/nchembio.598]		
9	TMP DD	yes	no	Escherichia coli	trimethoprim (TMP)	tuneable regulation of protein expression in the	[http://sci-hub.cc/10.1016/j.biosystems.2010.11.011]		
