#	name	ON	OFF	origin	effector	applications	references		
transcriptional switches
41	ZF switches	yes	no	Mus musculus, Homo sapiens, Drosophila melanogaster	4-hydroxytamoxifen, mifepristone	study of gene function, alteration of phenotypes cells or organisms	[63]		
42	ZF(TF)s	yes	no	Xenopus laevis, Homo sapiens	ethyl-4-hydroxybenzoate, propyl-4-hydroxybenzoate	genomic and proteomic research, gene therapy	[64]		
post-transcriptional switches									
1	aptamer RNAi	yes	no	synthetic SELEX-derived aptamers	theophylline	regulation of gene expression by small molecules without engineered proteins	[65]		
2	aptamer RNAi	no	yes	synthetic SELEX-derived	theophylline	construction of conditional RNAi systems	[66]		
3	aptamer RNAi miRNA	yes	no	synthetic SELEX-derived aptamers	theophylline, tetracycline, hypoxanthine	probing and programming of cellular function	[67]		
4	aptamer Splicing	yes	yes	Homo sapiens, MS2 bacteriophage	MS2, p65, p50, b-catenin	programmable sensing-actuation devices for autonomous cell behaviour control	[68]		
5	aptazyme	no	yes	synthetic SELEX-derived aptamer, Schistosoma mansoni	theophylline	regulation of therapeutic gene expression	[69]		
6	replicon CytTS	yes	no	Sindbis virus	temperature	expression of toxic proteins, bioprocess engineering	[70]		
7	TET-OFF-shRNA,	yes	yes	Escherichia coli, Herpes	doxycycline	basic or translational research, development of gene-	[71]		
	TET-ON-shRNA			simplex, Homo sapiens		based therapeutics			
8	theo aptamer	no	yes	synthetic SELEX-derived aptamer, Schistosoma mansoni	theophylline	basic, biotechnological, and biomedical research	[72]		
9	30 UTR aptazyme	yes	no	synthetic SELEX-derived aptamers, tobacco ringspot virus	theophylline, tetracycline	functional response regulation, gene and cellular therapy	[73]		
10	50 UTR aptazyme	no	yes	synthetic SELEX-derived aptamer, Schistosoma mansoni	theophylline	control of gene expression, gene therapy	[74]		
translational switches									
1	Hoechst aptamer	no	yes	synthetic RNA sequence	Hoechst dyes	translational gene regulation, biology and medical research	[75]		
2	H23 aptamer	no	yes	Archaeoglobus fulgidus	L7Ae, L7KK	gene expression regulation, construction of a NOR gate	[76]		
3	L7Ae aptamer	yes	yes	Archaeoglobus fulgidus	L7Ae	detection, repair or rewiring of intrinsic cellular defects, characterization of complex circuits	[77]		
4	MS2 aptamer	no	yes	MS2 bacteriophage	MS2	study RNA–protein interactions, clone RNA-binding	[78]		
post-translational switches									
1	AID	no	yes	Arabidopsis thaliana, Oryza sativa, Gossypium hirsutum	auxins (e.g. IAA)	control protein expression and study protein function	[79]		
2	ER DD	no	yes	Homo sapiens	CMP8, 4-hydroxytamoxifen	regulate the intracellular concentration of any protein	[80]		
3	FM	yes	no	Homo sapiens	AP21998	delivery of polypeptides that require rapid and regulated delivery	[81]		
4	HaloTag	no	yes	Rhodococcus sp. RHA1	HyT13	validating potential drug targets in disease models	[82,83]		
5	HDV-aptazyme	no	yes	hepatitis delta virus	theophylline, guanine	dynamic range of gene regulation	[84]		
6	PROTAC	no	yes	Homo sapiens	proteolysis targeting chimeric molecules (PROTACS)	chemical knockouts, control of protein function	[85]		
7	shield DD	yes	no	Homo sapiens	shields (e.g. Shld1)	conditional control of proteins levels	[86]		
8	shield LID	no	yes	Homo sapiens	shields (e.g. Shld1)	conditional control of proteins levels	[87]		
9	TMP DD	yes	no	Escherichia coli	trimethoprim (TMP)	tuneable regulation of protein expression in the	[88]		
